competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
41097,103530,Delaware,Blue Hens,0.21025,0.69188,0.52222,62.827,105.59108,115.40531,0.30612,0.16895,0.12009,0.08805,0.09143
27249,104347,Tulsa,Golden Hurricane,0.33765,0.73277,0.48592,63.232,103.84479,99.28018,0.461,0.19449,0.16433,0.07382,0.12825
27043,103609,Fla. Atlantic,Owls,0.34525,0.67209,0.5087,64.582,102.58228,106.06621,0.3674,0.16933,0.14205,0.07291,0.11466
27693,103830,Louisiana Tech,Bulldogs,0.27715,0.75669,0.5024,69.53,105.12556,94.11412,0.34171,0.16041,0.17216,0.0977,0.08108
30629,104453,Western Ky.,Hilltoppers,0.24818,0.70376,0.50511,69.768,108.12631,99.16804,0.30186,0.15376,0.17543,0.12146,0.16874
27168,104161,SMU,Mustangs,0.34831,0.67241,0.52538,62.581,102.66567,99.83043,0.40764,0.19434,0.1844,0.1098,0.13924
30629,104382,UTSA,Roadrunners,0.31092,0.74522,0.46038,68.87,97.31296,104.54477,0.26468,0.1532,0.15901,0.08317,0.07181
30629,104049,Old Dominion,Monarchs,0.32304,0.72616,0.50254,64.627,102.44884,103.31582,0.34033,0.15475,0.15012,0.09909,0.10574
36046,103744,Jacksonville St.,Gamecocks,0.33914,0.75514,0.44085,65.918,105.77893,100.39554,0.37177,0.17307,0.16745,0.10219,0.1129
38409,104453,Western Ky.,Hilltoppers,0.23875,0.71797,0.45314,71.436,104.36213,104.23141,0.30896,0.13433,0.15407,0.11316,0.07914
38409,103985,New Mexico St.,Aggies,0.33246,0.72671,0.47395,65.223,106.38154,100.70213,0.33404,0.13801,0.14363,0.09768,0.07269
27168,103865,Marshall,Thundering Herd,0.37985,0.64389,0.58409,67.948,100.76141,106.19193,0.44321,0.19078,0.16181,0.09493,0.10968
30629,104005,North Texas,Mean Green,0.32524,0.74926,0.48892,59.609,108.35502,92.7494,0.36903,0.16083,0.17698,0.10921,0.08018
33533,104382,UTSA,Roadrunners,0.29296,0.68842,0.44593,68.059,101.00661,111.6221,0.3609,0.17182,0.13708,0.06231,0.06601
36046,103811,Liberty,Flames,0.26099,0.76226,0.58864,64.904,112.8449,100.13671,0.25541,0.13977,0.15738,0.07988,0.06177
36046,103830,Louisiana Tech,Bulldogs,0.34464,0.72093,0.49089,66.21,112.02334,96.70911,0.40954,0.15764,0.16287,0.11234,0.13808
41097,103744,Jacksonville St.,Gamecocks,0.31503,0.72775,0.49551,65.257,110.47602,103.96625,0.42568,0.1479,0.14834,0.09425,0.09636
41097,104453,Western Ky.,Hilltoppers,0.32464,0.70798,0.52015,69.593,113.03868,108.53852,0.41784,0.12385,0.15318,0.10865,0.06994
